Year,Team,Player,ast,stl,blk,3p%,3pA,2p%,2pA,MP,WS
1979,Seattle SuperSonics,Jack Sikma,3.2,1.0,0.8,None,None,.460,12.6,36.1,8.8
1979,Seattle SuperSonics,Dennis Johnson,3.5,1.3,1.2,None,None,.434,13.9,34.0,6.6
1979,Seattle SuperSonics,Gus Williams,4.0,2.1,0.4,None,None,.495,16.1,29.8,8.3
1979,Seattle SuperSonics,John Johnson,4.4,0.7,0.3,None,None,.434,10.0,29.1,2.7
1979,Seattle SuperSonics,Lonnie Shelton,1.4,1.0,1.0,None,None,.519,11.3,28.4,5.1
1978,Washington Bullets,Elvin Hayes,1.8,1.2,2.0,None,None,.451,17.4,40.1,8.3
1978,Washington Bullets,Bob Dandridge,3.8,1.3,0.6,None,None,.471,15.9,37.0,6.8
1978,Washington Bullets,Wes Unseld,4.1,1.2,0.6,None,None,.523,6.1,33.1,6.8
1978,Washington Bullets,Tom Henderson,5.4,1.2,0.2,None,None,.432,10.5,30.9,3.1
1978,Washington Bullets,Mitch Kupchak,1.1,0.4,0.6,None,None,.512,11.5,26.3,4.9
1977,Portland Trail Blazers,Maurice Lucas,2.9,1.1,0.7,None,None,.466,17.2,36.2,8.7
1977,Portland Trail Blazers,Bill Walton,3.8,1.0,3.2,None,None,.528,14.3,34.8,10.2
1977,Portland Trail Blazers,Lionel Hollins,4.1,2.2,0.5,None,None,.432,13.8,29.3,4.0
1977,Portland Trail Blazers,Bob Gross,3.0,1.3,0.7,None,None,.529,8.7,27.2,7.4
1977,Portland Trail Blazers,Dave Twardzik,3.3,1.7,0.2,None,None,.612,5.8,26.2,7.5
1976,Boston Celtics,Dave Cowens,4.2,1.2,0.9,None,None,.468,16.7,39.8,10.7
1976,Boston Celtics,Jo Jo White,5.4,1.3,0.2,None,None,.449,18.2,39.7,7.4
1976,Boston Celtics,Charlie Scott,4.2,1.3,0.3,None,None,.449,16.0,35.5,6.4
1976,Boston Celtics,John Havlicek,3.7,1.3,0.4,None,None,.450,14.8,34.2,7.4
1976,Boston Celtics,Paul Silas,2.5,0.7,0.4,None,None,.426,9.1,32.9,7.2
1976,New York Nets,Julius Erving,5.0,2.5,1.9,.330,1.2,.517,21.1,38.6,17.7
1976,New York Nets,Brian Taylor,3.8,2.3,0.4,.421,1.4,.497,12.0,32.1,4.8
